has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,10,0,0,0,55,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,https://app.convertkit.com/editor/templates/2963173,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,13,0,0,0,0,62,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,https://sdfgbcvchf.weeblysite.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,10,0,0,0,55,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,https://app.convertkit.com/editor/templates/2963825,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,10,0,0,0,55,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,https://app.convertkit.com/editor/templates/2944892,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,10,0,0,0,55,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,https://app.convertkit.com/editor/templates/2964906,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,16,0,0,0,47,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,https://us17.list-manage.com/survey?u=fbf3c9e8c4d17add383e301fb&id=468004ebe2&attribution=false,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,70,36,0,0,0,72,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,https://www.dropbox.com/scl/fi/ywn4r23k2rr8fza0d2jo1/BT-ID-ADMINISTRATION.paper?rlkey=zf6u4tpcz9bmib8whqcu2keox&dl=0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,13,0,0,0,0,62,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,https://bt-105237-107056.weeblysite.com/,1
1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,8,0,48,32,0,0,0,311,0,1,3,54,0,1,1,1,0,0,18,0,0,0,0,6,0,https://mssh46.wixsite.com/my-site-1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,16,0,0,0,47,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,https://us13.list-manage.com/survey?u=4750a736ede6f7a50d7f24b28&id=a3acfc94e0&attribution=false,1
